movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Guardians of the Galaxy,2014,8,94320883,333176600,3.53,170000000,PG-13,4088,Walt Disney Studios Motion Pictures
The Hunger Games: Mockingjay - Part 1,2014,11,121897634,337135885,2.77,125000000,PG-13,4151,Lionsgate
Captain America: The Winter Soldier,2014,4,95023721,259766572,2.73,170000000,PG-13,3938,Walt Disney Studios Motion Pictures
The Lego Movie,2014,2,69050279,257760692,3.73,60000000,PG,3890,Warner Bros
Transformers: Age of Extinction,2014,6,100038390,245439076,2.45,210000000,PG-13,4233,Paramount Pictures
Maleficent,2014,5,69431298,241410378,3.48,180000000,PG,3948,Walt Disney Studios Motion Pictures
X-Men: Days of Future Past,2014,5,90823660,233921534,2.58,200000000,PG-13,4001,Twentieth Century Fox
Dawn of the Planet of the Apes,2014,7,72611427,208545589,2.87,170000000,PG-13,3969,Twentieth Century Fox
Big Hero 6,2014,11,56215889,222527828,3.96,165000000,PG,3773,Walt Disney Studios Motion Pictures
The Amazing Spider-Man 2,2014,5,91608337,202853933,2.21,200000000,PG-13,4324,Sony Pictures Releasing
Godzilla,2014,5,93188384,200676069,2.15,160000000,PG-13,3952,Warner Bros
22 Jump Street,2014,6,57071445,191719337,3.36,50000000,R,3426,Sony Pictures Releasing
Teenage Mutant Ninja Turtles,2014,8,65575105,191204754,2.92,125000000,PG-13,3980,Paramount Pictures
The Hobbit: The Battle of the Five Armies,2014,12,54724334,255119788,4.66,250000000,PG-13,3875,Warner Bros
Interstellar,2014,11,47510360,188020017,3.96,165000000,PG-13,3561,Paramount Pictures
How to Train Your Dragon 2,2014,6,49451322,177002924,3.58,145000000,PG,4268,Twentieth Century Fox
Gone Girl,2014,10,37513109,167767189,4.47,61000000,R,3284,Twentieth Century Fox
Divergent,2014,3,54607747,150947895,2.76,85000000,PG-13,3936,Lionsgate
Neighbors,2014,5,49033915,150157400,3.06,18000000,R,3311,Universal Pictures
Frozen,2014,11,67391326,400738009,5.95,150000000,PG,3742,Walt Disney Studios Motion Pictures
Ride Along,2014,1,41516170,134938200,3.25,25000000,PG-13,2867,Universal Pictures
Rio 2,2014,4,39327869,131538435,3.34,103000000,G,3975,Twentieth Century Fox
Lucy,2014,7,43899340,126663600,2.89,40000000,R,3202,Universal Pictures
Lone Survivor,2014,12,37849917,125095601,3.31,40000000,R,3285,Universal Pictures
The Fault in Our Stars,2014,6,48002523,124872350,2.6,12000000,PG-13,3340,Twentieth Century Fox
Mr. Peabody & Sherman,2014,3,32207057,111506430,3.46,145000000,PG,3951,Twentieth Century Fox
300: Rise of an Empire,2014,3,45038460,106580051,2.37,110000000,R,3490,Warner Bros
The Maze Runner,2014,9,32512239,102427862,3.15,34000000,PG-13,3638,Twentieth Century Fox
Noah,2014,3,43720472,101200044,2.31,125000000,PG-13,3571,Paramount Pictures
The Equalizer,2014,9,34137828,101530738,2.97,55000000,R,3236,Sony Pictures Releasing
Edge of Tomorrow,2014,6,28761246,100206256,3.48,178000000,PG-13,3505,Warner Bros
Non-Stop,2014,2,28875635,92168600,3.19,50000000,PG-13,3183,Universal Pictures
Heaven Is for Real,2014,4,22522221,91443253,4.06,12000000,PG,3048,TriStar Pictures
Fury,2014,10,23702421,85817906,3.62,68000000,R,3313,Sony Pictures Releasing
Dumb and Dumber To,2014,11,36111775,86208010,2.39,40000000,PG-13,3188,Universal Pictures
Tammy,2014,7,21577280,84525432,3.92,20000000,R,3465,Warner Bros
Annabelle,2014,10,37134233,84273813,2.27,6500000,R,3215,Warner Bros
The Other Woman,2014,4,24763752,83911193,3.39,40000000,PG-13,3306,Twentieth Century Fox
American Hustle,2014,12,19106941,150117807,7.86,40000000,R,2629,Sony Pictures Releasing
Let's Be Cops,2014,8,17813722,82390774,4.63,17000000,R,3140,Twentieth Century Fox
The Monuments Men,2014,2,22003270,78031620,3.55,70000000,PG-13,3083,Sony Pictures Releasing
The Wolf of Wall Street,2014,12,18361578,116900694,6.37,100000000,R,2557,Paramount Pictures
Penguins of Madagascar,2014,11,25447444,83850911,3.3,132000000,PG,3775,Twentieth Century Fox
Hercules,2014,7,29800263,72688614,2.44,100000000,PG-13,3595,Paramount Pictures
The Purge: Anarchy,2014,7,29816675,71962800,2.41,9000000,R,2856,Universal Pictures
Night at the Museum: Secret of the Tomb,2014,12,17100520,113746621,6.65,127000000,PG,3914,Twentieth Century Fox
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,10,18302230,66954149,3.66,28000000,PG,3117,Walt Disney Studios Motion Pictures
Think Like a Man Too,2014,6,29241911,65182182,2.23,24000000,PG-13,2225,Screen Gems
The Nut Job,2014,1,19423000,64251541,3.31,42000000,PG,3472,Open Road Films (II)
Into the Woods,2014,12,31051923,128002372,4.12,50000000,PG,2833,Walt Disney Studios Motion Pictures
Unbroken,2014,12,30621445,115637895,3.78,65000000,PG-13,3301,Universal Pictures
God's Not Dead,2014,3,9244641,60755732,6.57,2000000,PG,1860,Freestyle Releasing
Son of God,2014,2,25601865,59700064,2.33,22000000,PG-13,3271,Twentieth Century Fox
Planes: Fire & Rescue,2014,7,17516057,59165787,3.38,50000000,PG,3839,Walt Disney Studios Motion Pictures
The Grand Budapest Hotel,2014,3,811097,59301324,73.11,25000000,R,1467,Fox Searchlight Pictures
RoboCop,2014,2,21681430,58607007,2.7,100000000,PG-13,3372,Sony Pictures Releasing
Annie,2014,12,15861939,85911262,5.42,65000000,PG,3197,Sony Pictures Releasing
The Hobbit: The Desolation of Smaug,2014,12,73645197,258366855,3.51,225000000,PG-13,3928,Warner Bros
Dracula Untold,2014,10,23457810,56280355,2.4,70000000,PG-13,2900,Universal Pictures
Exodus: Gods and Kings,2014,12,24114935,65014513,2.7,140000000,PG-13,3503,Twentieth Century Fox
The Hundred-Foot Journey,2014,8,10979290,54240821,4.94,22000000,PG,2167,Walt Disney Studios Motion Pictures
No Good Deed,2014,9,24250283,52543632,2.17,13200000,PG-13,2175,Screen Gems
Horrible Bosses 2,2014,11,15457418,54445357,3.52,42000000,R,3400,Warner Bros
Muppets Most Wanted,2014,3,17006887,51183113,3.01,50000000,PG,3194,Walt Disney Studios Motion Pictures
Ouija,2014,10,19875995,50856010,2.56,5000000,PG-13,2899,Universal Pictures
Jack Ryan: Shadow Recruit,2014,1,15451981,50577412,3.27,60000000,PG-13,3387,Paramount Pictures
The Boxtrolls,2014,9,17275239,50837305,2.94,60000000,PG,3464,Focus Features
